platform,column,source,n_unique
tiktok,uuid,sample 20 files,15439990
tiktok,decision_visibility,sample 20 files,10
tiktok,decision_visibility_other,sample 20 files,58
tiktok,end_date_visibility_restriction,sample 20 files,87
tiktok,decision_monetary,sample 20 files,1
tiktok,decision_monetary_other,sample 20 files,1
tiktok,end_date_monetary_restriction,sample 20 files,15
tiktok,decision_provision,sample 20 files,2
tiktok,end_date_service_restriction,sample 20 files,146
tiktok,decision_account,sample 20 files,3
tiktok,end_date_account_restriction,sample 20 files,15
tiktok,account_type,sample 20 files,1
tiktok,decision_ground,sample 20 files,2
tiktok,decision_ground_reference_url,sample 20 files,1
tiktok,illegal_content_legal_ground,sample 20 files,27
tiktok,illegal_content_explanation,sample 20 files,38
tiktok,incompatible_content_ground,sample 20 files,2543
tiktok,incompatible_content_explanation,sample 20 files,6127
tiktok,incompatible_content_illegal,sample 20 files,1
tiktok,category,sample 20 files,17
tiktok,category_addition,sample 20 files,1
tiktok,category_specification,sample 20 files,1
tiktok,category_specification_other,sample 20 files,1
tiktok,content_type,sample 20 files,7
tiktok,content_type_other,sample 20 files,23
tiktok,content_language,sample 20 files,1
tiktok,content_date,sample 20 files,3762
tiktok,territorial_scope,sample 20 files,4789
tiktok,application_date,sample 20 files,36
tiktok,decision_facts,sample 20 files,8
tiktok,source_type,sample 20 files,4
tiktok,source_identity,sample 20 files,1
tiktok,automated_detection,sample 20 files,2
tiktok,automated_decision,sample 20 files,3
tiktok,platform_name,sample 20 files,1
tiktok,platform_uid,sample 20 files,15437058
tiktok,created_at,sample 20 files,165123
