platform,column,source,rank,value,count,pct
tiktok,uuid,sample 20 files,1,6da67ef0-cf59-4c62-acbd-3d2781631e8c,1,10.0
tiktok,uuid,sample 20 files,2,60ac38ea-5e78-41cd-b84a-0dab1cca5fe1,1,10.0
tiktok,uuid,sample 20 files,3,2185ffa5-21a6-4902-80f6-8b98ba5f9407,1,10.0
tiktok,uuid,sample 20 files,4,9001cc51-0268-4d34-8510-0fd018243b4e,1,10.0
tiktok,uuid,sample 20 files,5,f0a2d62b-906a-4230-9dc2-f08df57a22b9,1,10.0
tiktok,uuid,sample 20 files,6,77a77486-a84b-4c9d-9222-ae23ad321bb1,1,10.0
tiktok,uuid,sample 20 files,7,b6adbe68-ffb4-44c7-9881-d56b9e47d2c4,1,10.0
tiktok,uuid,sample 20 files,8,4292dc63-a825-43ec-81fd-dab500ba3158,1,10.0
tiktok,uuid,sample 20 files,9,8b6a694a-794f-4b49-ad4d-019a20ed2d48,1,10.0
tiktok,uuid,sample 20 files,10,93eaf939-1f0a-469e-9141-4f3e05668ef9,1,10.0
tiktok,decision_visibility,sample 20 files,1,"[""DECISION_VISIBILITY_CONTENT_REMOVED""]",8797210,56.98
tiktok,decision_visibility,sample 20 files,2,"[""DECISION_VISIBILITY_OTHER""]",6418981,41.57
tiktok,decision_visibility,sample 20 files,3,None,153651,1.0
tiktok,decision_visibility,sample 20 files,4,"[""DECISION_VISIBILITY_CONTENT_AGE_RESTRICTED""]",62520,0.4
tiktok,decision_visibility,sample 20 files,5,"[""DECISION_VISIBILITY_CONTENT_AGE_RESTRICTED"",""DECISION_VISIBILITY_CONTENT_REMOVED""]",2680,0.02
tiktok,decision_visibility,sample 20 files,6,"[""DECISION_VISIBILITY_CONTENT_AGE_RESTRICTED"",""DECISION_VISIBILITY_OTHER""]",2508,0.02
tiktok,decision_visibility,sample 20 files,7,"[""DECISION_VISIBILITY_CONTENT_DISABLED""]",1977,0.01
tiktok,decision_visibility,sample 20 files,8,"[""DECISION_VISIBILITY_CONTENT_DEMOTED"",""DECISION_VISIBILITY_OTHER""]",452,0.0
tiktok,decision_visibility,sample 20 files,9,"[""DECISION_VISIBILITY_CONTENT_REMOVED"",""DECISION_VISIBILITY_OTHER""]",8,0.0
tiktok,decision_visibility,sample 20 files,10,"[""DECISION_VISIBILITY_CONTENT_AGE_RESTRICTED"",""DECISION_VISIBILITY_CONTENT_REMOVED"",""DECISION_VISIBILITY_OTHER""]",3,0.0
tiktok,decision_visibility_other,sample 20 files,1,None,9018038,58.45
tiktok,decision_visibility_other,sample 20 files,2,Video not eligible for recommendation in the For You feed,5317790,34.47
tiktok,decision_visibility_other,sample 20 files,3,Photo not eligible for recommendation in the For You feed,625297,4.05
tiktok,decision_visibility_other,sample 20 files,4,"Photo not eligible for recommendation in the For You feed, and visibility restricted in search results",353750,2.29
tiktok,decision_visibility_other,sample 20 files,5,Ad is not eligible for posting.,32894,0.21
tiktok,decision_visibility_other,sample 20 files,6,LIVE not eligible for recommendation and restricted in search results,24844,0.16
tiktok,decision_visibility_other,sample 20 files,7,"Video not eligible for recommendation in the For You feed, and visibility restricted in search results",19978,0.13
tiktok,decision_visibility_other,sample 20 files,8,LIVE not eligible for recommendation and restricted in search results for 10 minutes,19457,0.13
tiktok,decision_visibility_other,sample 20 files,9,Suspend products,10925,0.07
tiktok,decision_visibility_other,sample 20 files,10,Video using the audio not eligible for recommendation in the For You feed,6494,0.04
tiktok,end_date_visibility_restriction,sample 20 files,1,None,15389563,99.77
tiktok,end_date_visibility_restriction,sample 20 files,2,2025-04-05 00:00:00.000,5138,0.03
tiktok,end_date_visibility_restriction,sample 20 files,3,2025-02-21 00:00:00.000,5038,0.03
tiktok,end_date_visibility_restriction,sample 20 files,4,2025-01-18 00:00:00.000,4912,0.03
tiktok,end_date_visibility_restriction,sample 20 files,5,2024-12-31 00:00:00.000,4054,0.03
tiktok,end_date_visibility_restriction,sample 20 files,6,2025-01-31 00:00:00.000,3557,0.02
tiktok,end_date_visibility_restriction,sample 20 files,7,2025-03-10 00:00:00.000,3158,0.02
