platform,column,dtype
x,uuid,String
x,decision_visibility,String
x,decision_visibility_other,String
x,end_date_visibility_restriction,"Datetime(time_unit='ms', time_zone=None)"
x,decision_monetary,String
x,decision_monetary_other,String
x,end_date_monetary_restriction,"Datetime(time_unit='ms', time_zone=None)"
x,decision_provision,String
x,end_date_service_restriction,"Datetime(time_unit='ms', time_zone=None)"
x,decision_account,String
x,end_date_account_restriction,"Datetime(time_unit='ms', time_zone=None)"
x,account_type,String
x,decision_ground,String
x,decision_ground_reference_url,String
x,illegal_content_legal_ground,String
x,illegal_content_explanation,String
x,incompatible_content_ground,String
x,incompatible_content_explanation,String
x,incompatible_content_illegal,String
x,category,String
x,category_addition,String
x,category_specification,String
x,category_specification_other,String
x,content_type,String
x,content_type_other,String
x,content_language,String
x,content_date,"Datetime(time_unit='ms', time_zone=None)"
x,territorial_scope,String
x,application_date,"Datetime(time_unit='ms', time_zone=None)"
x,decision_facts,String
x,source_type,String
x,source_identity,String
x,automated_detection,String
x,automated_decision,String
x,platform_name,String
x,platform_uid,String
x,created_at,"Datetime(time_unit='ms', time_zone=None)"
