platform,column,source,n_unique
x,uuid,full dataset,670093
x,decision_visibility,full dataset,3
x,decision_visibility_other,full dataset,11
x,end_date_visibility_restriction,full dataset,1
x,decision_monetary,full dataset,1
x,decision_monetary_other,full dataset,1
x,end_date_monetary_restriction,full dataset,1
x,decision_provision,full dataset,4
x,end_date_service_restriction,full dataset,1
x,decision_account,full dataset,3
x,end_date_account_restriction,full dataset,1
x,account_type,full dataset,1
x,decision_ground,full dataset,1
x,decision_ground_reference_url,full dataset,1
x,illegal_content_legal_ground,full dataset,155
x,illegal_content_explanation,full dataset,155
x,incompatible_content_ground,full dataset,1
x,incompatible_content_explanation,full dataset,1
x,incompatible_content_illegal,full dataset,1
x,category,full dataset,17
x,category_addition,full dataset,6
x,category_specification,full dataset,28
x,category_specification_other,full dataset,3
x,content_type,full dataset,3
x,content_type_other,full dataset,1
x,content_language,full dataset,1
x,content_date,full dataset,366
x,territorial_scope,full dataset,27
x,application_date,full dataset,366
x,decision_facts,full dataset,15
x,source_type,full dataset,1
x,source_identity,full dataset,1
x,automated_detection,full dataset,1
x,automated_decision,full dataset,2
x,platform_name,full dataset,2
x,platform_uid,full dataset,670093
x,created_at,full dataset,399153
