platform,column,source,rank,value,count,pct
x,uuid,full dataset,1,b5474b1b-a76a-4daf-a133-9459e1bec790,1,10.0
x,uuid,full dataset,2,b1757525-16ef-4ffb-a47e-f02f7383be9b,1,10.0
x,uuid,full dataset,3,17b14dd4-dd96-4469-8295-b17b85b061f9,1,10.0
x,uuid,full dataset,4,127c7335-ec4f-4ac1-aec5-e96cb406874c,1,10.0
x,uuid,full dataset,5,24db6050-dc89-49aa-ae7b-d5d28bd289e2,1,10.0
x,uuid,full dataset,6,032f39d7-1bb6-4501-8c0b-6096021acd33,1,10.0
x,uuid,full dataset,7,117d9d06-cac1-4db9-b2a8-a442aac7da85,1,10.0
x,uuid,full dataset,8,558a850a-c375-4664-b3b5-fb7ed16e3ce2,1,10.0
x,uuid,full dataset,9,74a7d16d-7536-48d7-8b59-7e1be7be5bc4,1,10.0
x,uuid,full dataset,10,73fc2371-0082-4936-9af4-fe8f11a2d8f5,1,10.0
x,decision_visibility,full dataset,1,"[""DECISION_VISIBILITY_OTHER""]",670060,100.0
x,decision_visibility,full dataset,2,"[""DECISION_VISIBILITY_CONTENT_REMOVED""]",27,0.0
x,decision_visibility,full dataset,3,"[""DECISION_VISIBILITY_CONTENT_DISABLED""]",6,0.0
x,decision_visibility_other,full dataset,1,Bounce,275303,41.08
x,decision_visibility_other,full dataset,2,Nsfw,210555,31.42
x,decision_visibility_other,full dataset,3,Suspend,182643,27.26
x,decision_visibility_other,full dataset,4,Deactivate,792,0.12
x,decision_visibility_other,full dataset,5,Ban,539,0.08
x,decision_visibility_other,full dataset,6,Unban,144,0.02
x,decision_visibility_other,full dataset,7,None,33,0.0
x,decision_visibility_other,full dataset,8,RemoveVerifiedType,32,0.0
x,decision_visibility_other,full dataset,9,AddTweetAnnotation,24,0.0
x,decision_visibility_other,full dataset,10,RemoveBlueVerification,23,0.0
x,end_date_visibility_restriction,full dataset,1,None,670093,100.0
x,decision_monetary,full dataset,1,None,670093,100.0
x,decision_monetary_other,full dataset,1,None,670093,100.0
