platform,column,source,len_min,len_max,len_mean,whitespace_anomaly_count
x,uuid,full dataset,36,36,36.0,0
x,decision_visibility,full dataset,29,40,29.0,0
x,decision_visibility_other,full dataset,3,22,5.65,0
x,decision_monetary,full dataset,0,0,0.0,0
x,decision_monetary_other,full dataset,0,0,0.0,0
x,decision_provision,full dataset,35,37,36.2,0
x,decision_account,full dataset,26,27,26.0,0
x,account_type,full dataset,0,0,0.0,0
x,decision_ground,full dataset,31,31,31.0,0
x,decision_ground_reference_url,full dataset,0,0,0.0,0
x,illegal_content_legal_ground,full dataset,2,101,15.53,0
x,illegal_content_explanation,full dataset,2,101,15.53,0
x,incompatible_content_ground,full dataset,0,0,0.0,0
x,incompatible_content_explanation,full dataset,0,0,0.0,0
x,incompatible_content_illegal,full dataset,0,0,0.0,0
x,category,full dataset,27,67,41.01,0
x,category_addition,full dataset,31,56,42.09,0
x,category_specification,full dataset,17,57,28.27,0
x,category_specification_other,full dataset,20,66,65.97,0
x,content_type,full dataset,21,32,32.0,0
x,content_type_other,full dataset,0,0,0.0,0
x,content_language,full dataset,0,0,0.0,0
x,territorial_scope,full dataset,6,6,6.0,0
x,decision_facts,full dataset,52,75,54.94,0
x,source_type,full dataset,30,30,30.0,0
x,source_identity,full dataset,0,0,0.0,0
x,automated_detection,full dataset,2,2,2.0,0
x,automated_decision,full dataset,24,32,31.88,0
x,platform_name,full dataset,1,20,1.04,0
x,platform_uid,full dataset,35,41,41.0,0
